order_id,customer_id,latitude,longitude,demand
0,0,35.7038,51.364,0.0
1,17,35.79328,51.45798,1.21114
2,51,35.8026,51.45419,1.22068
3,48,35.79229,51.38884,0.42532
4,29,35.79217,51.49131,1.21114
5,29,35.79217,51.49131,1.4256
6,29,35.79217,51.49131,0.40401
7,30,35.8062094108791,51.4717301179215,1.21114
8,30,35.8062094108791,51.4717301179215,1.21114
9,30,35.8062094108791,51.4717301179215,0.8619
10,30,35.8062094108791,51.4717301179215,0.13875
11,2,35.67792,51.35939,0.10296
12,2,35.67792,51.35939,0.15613
13,2,35.67792,51.35939,0.42532
14,49,35.67788,51.36514,0.02682
15,49,35.67788,51.36514,1.21114
16,39,35.68396,51.3698,1.21114
17,28,35.68583,51.37364,0.15613
18,28,35.68583,51.37364,1.21114
19,28,35.68583,51.37364,0.1786
20,28,35.68583,51.37364,0.2009
21,3,35.67493,51.35753,1.21114
22,3,35.67493,51.35753,0.15613
23,3,35.67493,51.35753,0.10296
24,35,35.6949652221693,51.4123542456998,1.21114
25,35,35.6949652221693,51.4123542456998,0.1584
26,35,35.6949652221693,51.4123542456998,0.75735
27,35,35.6949652221693,51.4123542456998,1.21114
28,35,35.6949652221693,51.4123542456998,1.21114
29,38,35.6958201499439,51.3988189391349,0.15613
30,38,35.6958201499439,51.3988189391349,0.15613
31,38,35.6958201499439,51.3988189391349,0.13875
32,38,35.6958201499439,51.3988189391349,0.2009
33,38,35.6958201499439,51.3988189391349,1.21114
34,38,35.6958201499439,51.3988189391349,0.25245
35,54,35.66294,51.40661,0.20002
36,54,35.66294,51.40661,0.43982
37,41,35.6845580046119,51.4346089869644,0.132
38,32,35.6845580046119,51.4346089869644,2.42228
39,32,35.6845580046119,51.4346089869644,1.21114
40,32,35.6845580046119,51.4346089869644,1.21114
41,32,35.6845580046119,51.4346089869644,0.31226
42,32,35.6845580046119,51.4346089869644,0.15613
43,18,35.65221,51.49645,0.42069
44,8,35.65736,51.38764,0.29952
45,8,35.65736,51.38764,0.15859
46,36,35.6597839993801,51.4299312017691,1.21114
47,36,35.6597839993801,51.4299312017691,0.1365
48,36,35.6597839993801,51.4299312017691,1.21114
49,47,35.66535,51.35743,0.2009
50,47,35.66535,51.35743,0.39916
51,47,35.66535,51.35743,0.15613
52,47,35.66535,51.35743,0.3168
53,10,35.67439,51.34103,0.40365
54,11,35.67439,51.34103,0.15613
55,9,35.72821,51.34173,0.02682
56,37,35.7215462161652,51.3464120565034,0.15613
57,37,35.7215462161652,51.3464120565034,0.25245
58,37,35.7215462161652,51.3464120565034,1.21114
59,25,35.7215462161652,51.3464120565034,0.10318
60,16,35.7215462161652,51.3464120565034,1.40659
61,1,35.5998,51.44313,0.8619
62,50,35.60582,51.42929,1.26318
63,20,35.72202,51.13357,0.29992
64,20,35.72202,51.13357,0.20002
65,20,35.72202,51.13357,0.3432
66,20,35.72202,51.13357,0.6278
67,20,35.72202,51.13357,0.29952
68,20,35.72202,51.13357,0.31704
69,7,35.76173,51.43616,0.29952
70,7,35.76173,51.43616,0.15859
71,5,35.75944,51.4002,0.43982
72,5,35.75944,51.4002,0.20002
73,4,35.75842,51.44628,0.20002
74,4,35.75842,51.44628,0.15859
75,4,35.75842,51.44628,0.29952
